Időszak;Nyereség
1;-22780.0000;
2;-21550.0000;
3;-21350.0000;
4;-21100.0000;
5;-21050.0000;
6;-20850.0000;
7;-20490.0000;
8;-19830.0000;
9;-19000.0000;
10;-18850.0000;
11;-18600.0000;
12;-17850.0000;
13;-17550.0000;
14;-17430.0000;
15;-16750.0000;
16;-16450.0000;
17;-16240.0000;
18;-16170.0000;
19;-15950.0000;
20;-15750.0000;
21;-15670.0000;
22;-15630.0000;
23;-15400.0000;
24;-15050.0000;
25;-14730.0000;
26;-14710.0000;
27;-14550.0000;
28;-14540.0000;
29;-14150.0000;
30;-13800.0000;
31;-13750.0000;
32;-13740.0000;
33;-13740.0000;
34;-13690.0000;
35;-13640.0000;
36;-13500.0000;
37;-13360.0000;
38;-13140.0000;
39;-13110.0000;
40;-12970.0000;
41;-12950.0000;
42;-12650.0000;
43;-12580.0000;
44;-12160.0000;
45;-11910.0000;
46;-11750.0000;
47;-11630.0000;
48;-11570.0000;
49;-11560.0000;
50;-11550.0000;
51;-11530.0000;
52;-11330.0000;
53;-11110.0000;
54;-11000.0000;
55;-11000.0000;
56;-10980.0000;
57;-10800.0000;
58;-10630.0000;
59;-10610.0000;
60;-10520.0000;
61;-10320.0000;
62;-9900.0000;
63;-9550.0000;
64;-9360.0000;
65;-9220.0000;
66;-9100.0000;
67;-9000.0000;
68;-8460.0000;
69;-8260.0000;
70;-8210.0000;
71;-8090.0000;
72;-8020.0000;
73;-8000.0000;
74;-7980.0000;
75;-7790.0000;
76;-7560.0000;
77;-7510.0000;
78;-7350.0000;
79;-7260.0000;
80;-6840.0000;
81;-6750.0000;
82;-6710.0000;
83;-6550.0000;
84;-5850.0000;
85;-5850.0000;
86;-5720.0000;
87;-5700.0000;
88;-5420.0000;
89;-5240.0000;
90;-5190.0000;
91;-5130.0000;
92;-5100.0000;
93;-5050.0000;
94;-5040.0000;
95;-4990.0000;
96;-4900.0000;
97;-4270.0000;
98;-4020.0000;
99;-3900.0000;
100;-3700.0000;
101;-3600.0000;
102;-3500.0000;
103;-3290.0000;
104;-3090.0000;
105;-3080.0000;
106;-3000.0000;
107;-2970.0000;
108;-2880.0000;
109;-2520.0000;
110;-2500.0000;
111;-2320.0000;
112;-2290.0000;
113;-2230.0000;
114;-2230.0000;
115;-2210.0000;
116;-2200.0000;
117;-2180.0000;
118;-2180.0000;
119;-2120.0000;
120;-2020.0000;
121;-1980.0000;
122;-1930.0000;
123;-1900.0000;
124;-1890.0000;
125;-1710.0000;
126;-1510.0000;
127;-1470.0000;
128;-1460.0000;
129;-1450.0000;
130;-1420.0000;
131;-1200.0000;
132;-1060.0000;
133;-1000.0000;
134;-950.0000;
135;-910.0000;
136;-890.0000;
137;-830.0000;
138;-810.0000;
139;-750.0000;
140;-740.0000;
141;-690.0000;
142;-670.0000;
143;-660.0000;
144;-590.0000;
145;-380.0000;
146;-340.0000;
147;-280.0000;
148;-280.0000;
149;-20.0000;
150;-10.0000;
151;70.0000;
152;80.0000;
153;90.0000;
154;400.0000;
155;420.0000;
156;510.0000;
157;650.0000;
158;660.0000;
159;900.0000;
160;1030.0000;
161;1050.0000;
162;1070.0000;
163;1340.0000;
164;1350.0000;
165;1400.0000;
166;1470.0000;
167;1500.0000;
168;1560.0000;
169;1580.0000;
170;1630.0000;
171;1660.0000;
